Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-03-18 12:14:30,Sp-Tå,59,49,10,12,38,3,3,244.54,959.06,754.77,204.28,13.1,11.3,28.39,West,2.74,South,1.8,398.75,17.77,37.14,189.63
2019-03-18 08:15:00,Sp-Tå,59,49,11,11,38,1,3,245.77,953.02,749.09,203.92,12.2,11.07,29.7,West,2.0,South,2.2,304.52,13.91,45.42,186.43
2019-03-18 18:14:30,Sp-Tå,58,52,7,12,40,2,2,248.63,978.95,767.95,210.99,12.5,11.13,19.06,West,1.94,South,1.9,768.91,8.13,37.34,203.17
2019-03-18 06:14:30,Sp-Tå,60,50,10,10,40,2,2,251.57,983.81,769.9,213.91,11.8,10.76,29.38,West,1.03,South,1.7,278.75,12.24,39.8,199.53
2019-03-18 16:14:00,Sp-Tå,60,49,11,12,38,1,2,253.14,996.06,784.93,211.12,12.2,11.33,26.39,West,1.91,South,1.55,319.17,10.76,43.08,199.3
2019-03-18 04:14:30,Sp-Tå,60,49,11,11,39,2,2,261.68,1022.17,803.36,218.8,12.5,10.97,27.52,West,0.43,South,1.8,278.95,14.74,43.43,203.51
2019-03-18 14:13:00,Sp-Tå,61,49,12,12,37,1,3,264.05,1025.46,815.75,209.71,12.4,11.45,28.21,West,2.26,South,1.9,327.74,12.59,41.49,209.97
2019-03-18 20:14:00,Sp-Tå,60,48,12,12,36,2,2,272.15,1046.83,827.12,219.71,13.0,11.76,17.39,West,2.38,South,2.0,397.85,16.26,37.16,218.73
2019-03-18 10:14:00,Sp-Tå,60,47,13,11,36,2,3,284.42,1066.51,851.78,214.73,13.0,11.74,30.49,West,2.45,South,1.9,322.48,22.56,40.07,221.79
2019-03-18 21:13:30,Tå-Sp,62,47,15,10,37,0,3,326.24,1296.52,1054.21,242.31,12.5,11.28,15.71,West,2.74,South,2.2,88.04,10.02,48.38,267.84
2019-03-18 19:12:30,Tå-Sp,62,51,11,13,39,2,3,335.96,1308.06,1052.76,255.3,12.0,10.87,18.39,West,2.2,South,2.3,99.03,19.29,53.41,263.26
2019-03-18 07:14:00,Tå-Sp,61,50,11,11,40,1,3,345.32,1355.32,1096.42,258.91,11.8,10.61,26.59,West,1.73,South,1.9,86.96,11.5,44.43,289.39
2019-03-18 09:14:00,Tå-Sp,60,50,10,11,39,2,3,357.87,1410.09,1147.48,262.61,11.4,10.74,27.85,West,2.38,South,2.1,87.1,13.17,49.36,295.33
2019-03-18 15:14:00,Tå-Sp,60,52,9,12,40,2,3,360.83,1417.33,1156.54,260.79,12.0,10.54,27.11,West,1.99,South,1.8,81.92,11.33,56.94,292.56
2019-03-18 05:14:00,Tå-Sp,61,49,12,11,38,2,3,362.69,1406.3,1143.97,262.33,12.0,11.08,29.84,West,0.81,South,1.9,75.98,17.64,52.87,292.18
2019-03-18 17:14:00,Tå-Sp,61,49,12,11,38,2,3,374.72,1437.74,1179.28,258.45,12.4,11.1,21.24,West,1.86,South,2.1,112.45,20.93,48.14,305.65
2019-03-18 11:13:30,Tå-Sp,61,51,10,11,40,3,3,377.36,1468.5,1201.2,267.3,12.1,10.46,27.35,West,2.72,South,2.0,132.48,17.45,56.54,303.37
2019-03-18 13:13:30,Tå-Sp,60,49,11,11,38,2,3,386.36,1503.13,1240.05,263.08,12.1,11.14,27.89,West,2.4,South,1.7,94.91,14.47,50.59,321.31
