Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-02-11 04:13:30,Sp-Tå,61,51,10,11,40,2,2,226.38,884.5,683.3,201.21,12.6,10.61,19.71,West,1.72,South,1.9,379.84,13.83,31.74,180.81
2019-02-11 18:18:00,Sp-Tå,57,50,7,12,38,2,2,240.87,955.41,750.4,205.01,12.5,11.18,20.85,West,2.75,South,2.1,344.29,9.4,35.21,196.26
2019-02-11 06:14:30,Sp-Tå,59,49,10,11,39,1,2,241.18,964.07,750.38,213.69,12.8,11.01,19.33,West,1.91,South,1.8,463.4,8.78,34.52,197.88
2019-02-11 20:16:00,Sp-Tå,59,49,11,11,38,2,2,246.24,959.93,754.31,205.62,12.6,11.33,17.87,West,2.5,South,2.0,279.88,13.44,34.41,198.4
2019-02-11 08:14:30,Sp-Tå,59,48,11,11,38,2,2,252.68,981.16,769.55,211.61,12.7,11.45,20.35,West,2.3,South,2.0,377.63,13.67,35.48,203.54
2019-02-11 16:14:30,Sp-Tå,60,50,10,12,38,2,2,253.51,993.84,781.89,211.95,12.9,11.15,20.02,West,2.99,South,2.3,542.69,13.48,35.89,204.13
2019-02-11 10:15:00,Sp-Tå,61,50,11,12,39,2,3,256.6,995.3,774.49,220.81,11.8,11.02,22.4,North,2.69,South,2.1,348.18,13.78,36.67,206.15
2019-02-11 12:17:00,Sp-Tå,61,51,10,12,39,2,2,260.2,1021.34,798.21,223.13,11.7,10.86,22.87,North,3.0,South,1.7,345.59,13.21,39.14,207.86
2019-02-11 14:16:30,Sp-Tå,59,49,11,11,38,2,2,263.46,1022.16,811.05,211.11,12.5,11.29,15.35,North,3.1,South,2.1,340.89,14.18,34.33,214.96
2019-02-11 19:14:30,Tå-Sp,62,52,10,10,42,2,2,285.28,1118.69,888.18,230.52,10.8,10.02,18.0,West,2.6,South,2.4,87.42,13.03,41.02,231.23
2019-02-11 17:14:30,Tå-Sp,64,53,11,11,42,2,2,289.86,1136.61,898.86,237.75,10.3,9.78,18.97,West,2.84,South,2.4,93.84,14.31,41.79,233.76
2019-02-11 05:14:30,Tå-Sp,60,52,9,11,41,1,2,295.05,1162.86,928.11,234.75,11.4,10.3,19.28,West,1.84,South,2.1,89.44,7.94,39.39,247.71
2019-02-11 21:15:00,Tå-Sp,65,50,15,11,40,0,3,300.26,1196.91,966.29,230.62,12.0,10.55,20.41,West,2.19,South,2.2,91.88,8.32,45.05,246.88
2019-02-11 15:15:30,Tå-Sp,59,49,11,10,39,2,3,304.56,1207.06,971.58,235.48,12.0,10.63,15.7,West,3.05,South,2.3,89.86,13.76,39.11,251.68
2019-02-11 07:13:30,Tå-Sp,61,51,11,11,40,1,3,307.14,1223.07,978.08,244.99,11.9,10.46,19.52,North,2.18,South,2.4,116.35,9.06,37.6,260.48
2019-02-11 13:17:30,Tå-Sp,59,51,8,11,40,2,3,323.44,1288.24,1039.33,248.9,11.5,10.19,20.77,North,3.11,South,2.4,87.65,10.85,42.07,270.52
2019-02-11 11:16:00,Tå-Sp,61,51,10,11,41,2,3,332.27,1314.98,1058.57,256.41,11.6,10.21,23.57,North,2.94,South,2.3,86.78,13.48,40.87,277.91
2019-02-11 09:13:00,Tå-Sp,62,51,11,12,40,1,3,353.22,1390.64,1122.82,267.82,12.0,10.55,22.98,North,2.6,South,2.4,74.39,11.86,43.92,297.44
