Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-02-04 05:15:00,Tå-Sp,61,50,11,11,39,2,2,251.71,974.82,768.81,206.01,11.7,10.85,13.03,South,1.02,North,2.0,63.85,13.77,39.62,198.32
2019-02-04 10:15:00,Sp-Tå,58,50,8,11,40,2,2,257.26,1005.32,793.96,211.36,11.5,10.67,21.02,South,1.77,North,2.4,290.26,10.36,33.32,213.57
2019-02-04 11:12:30,Tå-Sp,62,50,13,12,38,1,2,269.02,1062.33,831.53,230.8,12.1,11.11,15.95,South,1.7,North,2.3,52.55,12.95,46.66,209.41
2019-02-04 15:15:00,Tå-Sp,60,50,10,12,38,2,2,271.1,1058.45,827.37,231.08,12.3,11.2,15.94,South,2.18,North,1.9,79.22,14.75,43.3,213.04
2019-02-04 12:14:30,Sp-Tå,61,50,12,11,39,1,2,272.22,1068.6,841.11,227.49,11.7,10.9,18.97,South,1.68,North,2.5,231.05,11.52,35.73,224.97
2019-02-04 13:15:30,Tå-Sp,58,50,8,13,38,2,2,274.54,1070.85,845.73,225.12,12.2,11.21,16.49,South,1.73,North,2.0,61.48,10.2,47.52,216.82
2019-02-04 04:14:30,Sp-Tå,61,50,11,12,39,2,2,277.57,1076.46,861.21,215.25,12.3,11.29,13.55,South,0.58,North,1.8,373.86,15.31,34.28,227.97
2019-02-04 14:13:00,Sp-Tå,62,52,10,12,40,1,2,282.13,1103.04,866.14,236.9,11.1,10.39,18.75,South,1.84,North,2.2,274.89,10.1,41.05,230.99
2019-02-04 06:16:00,Sp-Tå,61,51,10,12,39,2,2,282.95,1103.45,878.03,225.42,11.8,10.97,17.85,South,1.24,North,1.8,254.57,14.4,40.87,227.68
2019-02-04 07:16:30,Tå-Sp,60,51,10,12,39,2,3,288.38,1127.03,900.79,226.24,12.5,11.34,14.84,South,1.56,North,2.1,692.82,13.73,43.81,230.85
2019-02-04 09:15:30,Tå-Sp,60,47,13,11,37,1,3,289.25,1144.54,914.99,229.55,13.0,11.66,17.61,South,1.78,North,2.4,419.66,11.08,42.49,235.67
2019-02-04 16:14:30,Sp-Tå,59,52,8,12,40,2,3,292.66,1148.07,909.63,238.45,11.9,10.54,25.41,South,2.31,North,2.25,447.54,11.3,47.59,233.76
2019-02-04 08:16:30,Sp-Tå,59,47,12,10,37,2,3,296.19,1158.53,927.93,230.6,12.6,11.41,18.15,South,1.67,North,1.9,277.26,16.78,33.9,245.52
2019-02-04 20:13:30,Sp-Tå,60,53,7,13,40,2,3,319.68,1236.44,993.7,242.74,11.9,10.67,29.63,South,2.67,North,1.7,472.11,13.93,59.73,246.02
2019-02-04 21:13:00,Tå-Sp,65,50,15,12,38,0,3,320.67,1263.81,1021.19,242.63,13.7,11.26,23.89,South,2.38,North,2.2,104.25,14.31,56.23,250.13
2019-02-04 19:14:00,Tå-Sp,60,51,9,12,39,2,3,328.98,1307.65,1058.85,248.8,14.3,11.36,23.05,South,2.64,North,1.9,517.98,14.02,58.8,256.16
2019-02-04 18:12:30,Sp-Tå,62,52,10,14,38,2,3,359.5,1419.9,1152.52,267.38,12.5,10.97,26.87,South,2.68,North,2.0,374.79,17.58,62.18,279.74
2019-02-04 17:13:30,Tå-Sp,59,49,11,11,38,2,3,361.64,1428.46,1160.32,268.14,15.4,12.02,25.1,South,2.51,North,2.0,799.35,15.14,63.45,283.05
