Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-02-18 20:13:00,Sp-Tå,63,52,11,11,41,1,2,235.68,925.36,721.7,203.66,11.3,10.17,12.56,South,1.8,North,2.3,295.55,9.75,27.84,198.09
2019-02-18 15:15:00,Tå-Sp,59,50,9,11,39,1,2,237.67,931.68,733.45,198.23,13.0,11.04,8.87,South,1.96,North,2.2,90.62,7.98,32.29,197.39
2019-02-18 14:13:00,Sp-Tå,62,52,10,11,42,1,2,246.2,971.56,759.7,211.86,10.8,10.23,8.62,South,1.73,North,1.9,298.84,8.52,33.59,204.1
2019-02-18 05:14:30,Tå-Sp,61,50,11,12,38,1,2,247.62,959.09,753.57,205.52,12.2,11.06,7.7,South,2.35,North,1.9,89.99,11.14,33.9,202.59
2019-02-18 12:13:00,Sp-Tå,62,51,11,11,40,1,2,250.04,982.96,771.41,211.55,11.1,10.59,12.68,South,1.66,North,2.1,253.99,10.38,37.54,202.12
2019-02-18 07:14:30,Tå-Sp,60,50,10,11,39,1,2,250.99,982.27,774.27,208.0,11.7,10.76,10.23,South,2.37,North,2.3,82.07,10.13,39.97,200.9
2019-02-18 21:15:30,Tå-Sp,65,50,15,11,40,0,2,253.67,978.41,780.97,197.44,12.4,10.86,11.12,West,1.23,North,2.3,166.61,8.82,32.64,212.21
2019-02-18 11:14:30,Tå-Sp,59,48,11,11,38,1,2,254.32,985.97,785.81,200.16,12.7,11.22,9.14,South,1.71,North,2.3,60.42,9.67,34.78,209.87
2019-02-18 17:14:00,Tå-Sp,59,48,11,11,37,1,2,256.57,976.62,773.82,202.8,12.6,11.32,9.04,South,2.17,North,2.1,44.98,13.98,33.56,209.03
2019-02-18 18:13:00,Sp-Tå,62,52,10,12,41,1,2,258.9,1007.24,792.59,214.65,11.3,10.23,10.75,South,2.17,North,2.0,246.89,7.56,31.43,219.9
2019-02-18 13:14:30,Tå-Sp,59,50,9,12,39,1,2,259.94,1001.61,788.01,213.61,12.7,10.96,10.32,South,1.69,North,1.9,73.89,7.89,34.14,217.91
2019-02-18 19:14:30,Tå-Sp,59,49,10,11,38,1,2,262.33,1001.77,797.56,204.21,13.0,11.32,8.05,South,1.97,North,2.0,83.39,12.64,30.5,219.19
2019-02-18 16:13:30,Sp-Tå,61,51,10,11,40,1,2,264.4,1024.36,815.82,208.54,11.4,10.54,10.62,South,2.02,North,2.0,236.11,8.66,31.56,224.19
2019-02-18 09:14:00,Tå-Sp,61,1,3,13,39,2,2,265.48,1020.92,811.85,209.07,12.2,10.96,11.75,West,2.02,North,2.2,74.3,3.26,37.01,215.56
2019-02-18 06:15:00,Sp-Tå,60,50,10,11,39,1,2,283.91,1096.04,876.32,219.72,11.5,10.8,11.25,South,2.39,North,2.1,219.74,9.82,37.42,236.68
2019-02-18 04:14:00,Sp-Tå,61,51,10,12,39,1,2,286.61,1118.19,896.4,221.79,11.5,10.88,7.25,South,2.01,North,1.95,262.25,8.94,43.54,234.12
2019-02-18 10:15:00,Sp-Tå,60,49,11,12,38,1,3,289.91,1147.98,925.83,222.15,12.1,11.34,8.8,South,1.92,North,2.2,276.46,11.88,40.38,237.66
2019-02-18 08:14:30,Sp-Tå,60,48,12,11,37,1,3,341.41,1309.19,1068.26,240.94,12.9,11.34,11.29,South,2.29,North,1.8,322.86,12.23,41.25,287.93
