Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-03-11 08:13:00,Sp-Tå,61,51,10,12,39,1,2,244.2,974.7,759.7,215.0,12.1,10.83,6.61,West,0.44,South,2.1,318.87,7.54,44.09,192.57
2019-03-11 09:13:30,Tå-Sp,65,52,13,12,41,1,2,245.86,949.9,734.29,215.61,11.5,10.42,6.4,West,0.45,South,2.4,71.68,15.14,32.96,197.76
2019-03-11 20:14:30,Sp-Tå,60,51,9,13,39,2,2,256.09,1000.76,788.43,212.33,11.6,11.02,12.95,North,0.95,North,1.9,328.71,10.46,39.49,206.15
2019-03-11 17:15:00,Tå-Sp,59,51,8,11,40,2,2,256.49,1006.9,787.54,219.36,11.6,10.87,6.1,West,0.44,South,2.1,838.95,10.07,37.98,208.44
2019-03-11 19:14:30,Tå-Sp,60,50,11,11,39,2,2,258.93,1005.6,791.17,214.43,11.9,10.95,10.76,West,0.86,North,2.2,547.65,12.97,36.64,209.32
2019-03-11 16:14:30,Sp-Tå,61,52,9,13,40,2,2,259.62,1012.76,796.16,216.6,11.5,10.86,4.8,North,0.53,South,1.8,277.12,10.43,38.8,210.4
2019-03-11 15:13:30,Tå-Sp,61,49,12,10,39,2,2,260.25,1004.24,789.1,215.14,11.6,10.84,2.84,North,0.64,South,2.2,87.62,15.22,37.44,207.6
2019-03-11 10:18:00,Sp-Tå,56,51,6,12,39,2,2,261.52,1024.62,813.97,210.65,12.0,11.02,5.13,West,0.52,South,1.9,349.65,7.59,43.57,210.36
2019-03-11 11:14:00,Tå-Sp,60,52,9,13,39,2,2,261.76,1018.94,805.16,213.78,11.5,10.73,8.4,West,0.56,South,2.1,114.25,10.57,42.61,208.58
2019-03-11 07:13:30,Tå-Sp,60,51,9,11,40,2,2,262.09,1015.99,800.61,215.37,11.9,10.55,9.06,West,0.4,South,1.8,87.62,11.51,33.31,217.27
2019-03-11 21:14:00,Tå-Sp,65,50,15,11,39,0,2,270.52,1054.59,836.5,218.09,11.6,10.85,11.75,West,0.96,North,1.95,117.59,9.06,41.31,220.15
2019-03-11 14:15:00,Sp-Tå,59,48,11,11,38,1,2,271.81,1043.01,823.53,219.48,12.4,11.37,6.26,North,0.69,South,1.9,412.38,12.97,39.28,219.55
2019-03-11 13:15:30,Tå-Sp,60,51,9,12,39,1,2,274.19,1077.87,846.41,231.46,11.5,10.82,8.55,West,0.66,South,1.9,99.56,8.67,46.84,218.69
2019-03-11 06:18:30,Sp-Tå,55,49,7,11,38,2,2,280.54,1101.65,882.05,219.6,12.6,11.44,8.81,West,0.37,South,2.0,234.67,9.12,40.64,230.77
2019-03-11 18:14:00,Sp-Tå,61,49,12,12,37,2,2,281.78,1084.91,858.03,226.88,12.2,11.44,8.02,West,0.75,North,1.8,257.81,15.21,43.22,223.36
2019-03-11 12:14:00,Sp-Tå,62,50,12,13,37,2,2,285.51,1097.27,872.59,224.68,12.4,11.5,7.7,West,0.61,South,1.8,376.46,16.94,46.99,221.59
