Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-04-01 06:15:00,Tå-Sp,61,50,11,11,39,1,2,241.81,967.95,749.7,218.25,11.7,10.79,7.42,East,2.1,North,2.2,145.65,8.96,37.83,195.02
2019-04-01 16:16:30,Tå-Sp,59,48,11,10,38,2,2,257.93,992.06,777.27,214.79,12.1,10.98,12.25,East,3.06,North,2.2,63.63,15.95,31.04,210.95
2019-04-01 20:17:00,Tå-Sp,61,46,15,9,37,0,2,258.11,986.47,777.88,208.59,12.8,11.45,15.33,East,3.02,North,2.1,130.97,12.97,31.57,213.56
2019-04-01 04:15:30,Tå-Sp,60,49,11,12,37,1,2,259.26,1026.91,808.17,218.74,12.6,11.47,6.83,East,1.7,North,2.2,293.62,8.66,40.06,210.53
2019-04-01 03:14:30,Sp-Tå,61,51,1,14,41,1,2,263.06,1040.59,818.48,222.1,11.0,10.46,6.43,East,1.42,North,2.0,264.78,1.33,33.23,223.14
2019-04-01 18:15:30,Tå-Sp,61,47,14,10,37,2,2,263.63,1008.37,789.35,219.02,12.6,11.41,15.49,East,3.17,North,2.2,84.98,20.02,31.69,211.92
2019-04-01 08:17:00,Tå-Sp,60,49,11,11,38,1,2,264.09,1037.61,817.81,219.8,12.0,11.21,9.02,South,1.8,North,2.1,72.8,10.91,41.59,211.59
2019-04-01 12:17:30,Tå-Sp,60,48,13,9,39,2,2,264.15,1017.89,799.76,218.13,12.2,10.98,5.98,South,1.79,North,1.8,76.82,17.51,28.06,218.59
2019-04-01 14:16:30,Tå-Sp,60,48,12,10,38,2,2,272.37,1041.77,820.49,221.27,12.2,11.09,3.67,East,2.43,North,1.9,62.83,16.19,30.26,225.92
2019-04-01 07:15:30,Sp-Tå,62,50,12,10,40,1,2,274.13,1074.28,846.41,227.88,11.4,10.51,9.88,East,2.05,North,2.1,218.11,10.12,33.26,230.75
2019-04-01 05:15:30,Sp-Tå,60,50,10,10,40,1,2,274.3,1081.31,856.73,224.57,11.4,10.65,6.94,East,1.9,North,1.7,404.23,7.37,30.53,236.4
2019-04-01 15:16:00,Sp-Tå,61,53,8,11,42,2,2,278.43,1080.29,859.12,221.18,12.0,10.18,11.11,East,2.61,North,2.2,379.35,13.22,32.65,232.56
2019-04-01 11:15:00,Sp-Tå,63,51,12,12,39,2,2,281.03,1088.95,859.56,229.39,11.9,10.91,8.93,South,1.61,North,2.1,227.79,19.04,39.11,222.88
2019-04-01 10:15:00,Tå-Sp,60,48,12,11,38,2,3,282.6,1092.38,867.31,225.07,13.4,11.31,8.55,South,1.6,North,2.2,90.48,15.1,32.42,235.07
2019-04-01 13:17:30,Sp-Tå,59,49,10,11,39,2,2,283.16,1088.41,866.57,221.84,12.1,10.97,6.48,West,1.93,North,1.9,347.68,15.24,37.94,229.98
2019-04-01 09:16:30,Sp-Tå,59,49,10,11,39,1,2,285.96,1111.85,867.09,244.76,11.6,10.89,6.89,South,1.71,North,2.0,190.27,13.55,37.53,234.87
2019-04-01 19:16:30,Sp-Tå,61,53,8,13,41,2,3,317.27,1238.19,997.3,240.9,12.1,10.39,15.07,East,3.15,North,2.2,243.45,12.16,40.7,264.4
2019-04-01 17:15:00,Sp-Tå,61,51,10,11,40,2,3,326.22,1268.58,1020.53,248.05,12.3,10.51,13.48,East,3.14,North,2.1,263.63,15.23,33.6,277.38
