Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-01-21 08:16:00,Sp-Tå,59,50,10,11,39,1,2,283.65,1092.43,871.59,220.84,12.1,10.98,21.87,West,2.38,North,1.9,204.81,10.43,41.09,232.13
2019-01-21 04:14:30,Sp-Tå,61,51,10,14,38,2,2,298.93,1139.02,914.98,224.03,12.0,11.19,18.99,South,1.87,North,1.4,268.4,12.76,44.45,241.72
2019-01-21 10:16:30,Sp-Tå,57,46,11,10,36,1,3,307.23,1203.53,969.11,234.42,12.8,11.78,19.38,West,1.73,North,1.8,261.49,9.81,40.9,256.52
2019-01-21 05:15:00,Tå-Sp,61,50,11,13,37,1,3,313.76,1222.04,981.3,240.74,13.5,11.38,17.41,South,2.32,North,2.5,83.34,10.25,53.5,250.01
2019-01-21 06:15:30,Sp-Tå,61,51,10,13,38,1,3,314.0,1221.41,986.58,234.83,13.3,11.09,21.5,South,2.43,North,1.9,180.73,9.55,51.3,253.15
2019-01-21 09:15:00,Tå-Sp,62,51,11,13,38,1,4,315.37,1230.95,990.06,240.89,13.1,11.24,20.15,West,1.94,North,1.9,57.73,9.88,44.7,260.79
2019-01-21 07:16:00,Tå-Sp,60,49,11,13,36,1,3,336.33,1303.94,1060.79,243.15,13.2,11.68,18.14,West,2.47,North,2.3,57.78,9.74,51.73,274.86
