Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-02-25 21:15:00,Tå-Sp,66,51,15,11,40,0,2,245.45,956.71,751.7,205.01,12.4,10.76,10.2,West,0.73,North,1.9,124.19,8.85,29.6,207.0
2019-02-25 11:14:00,Tå-Sp,63,53,10,12,42,2,2,248.83,971.48,757.51,213.97,12.6,10.26,11.07,West,1.16,North,2.1,84.11,12.15,30.4,206.28
2019-02-25 04:14:00,Sp-Tå,62,52,10,13,39,2,2,258.77,1009.87,797.31,212.56,12.1,11.12,4.61,West,0.58,South,1.9,354.42,12.73,41.41,204.63
2019-02-25 20:14:30,Sp-Tå,61,48,13,11,37,1,2,269.19,1056.65,832.54,224.11,12.8,11.52,10.8,West,0.37,North,1.7,332.01,11.91,36.22,221.05
2019-02-25 07:14:00,Tå-Sp,66,52,15,12,40,2,2,270.1,1035.69,807.25,228.44,12.2,10.56,7.62,West,0.65,North,2.2,90.56,17.96,29.77,222.36
2019-02-25 19:14:00,Tå-Sp,61,52,9,13,40,1,2,270.67,1059.96,837.02,222.94,12.1,10.7,14.56,West,0.3,South,2.0,80.66,8.69,38.45,223.53
2019-02-25 05:15:30,Tå-Sp,61,51,10,11,40,2,2,270.71,1047.38,821.33,226.05,11.7,10.5,7.25,West,0.43,South,2.3,71.5,12.95,41.13,216.63
2019-02-25 18:15:00,Sp-Tå,59,48,11,12,36,1,2,275.98,1080.89,857.54,223.35,13.0,11.85,12.52,West,0.42,South,1.5,242.56,10.89,42.78,222.31
2019-02-25 06:16:30,Sp-Tå,58,53,5,11,42,2,3,282.53,1115.0,889.23,225.77,13.1,10.9,7.48,West,0.46,North,2.0,1172.8,5.55,39.13,237.84
2019-02-25 14:15:00,Sp-Tå,62,49,14,12,37,1,4,291.39,1138.0,905.75,232.24,13.4,11.65,10.95,West,0.94,North,2.0,215.32,14.3,37.54,239.54
2019-02-25 10:18:30,Sp-Tå,56,48,8,11,37,1,3,291.48,1164.52,932.85,231.67,13.9,11.63,9.09,West,1.09,North,1.8,308.08,8.02,37.69,245.76
2019-02-25 08:20:00,Sp-Tå,57,48,9,11,37,2,3,292.44,1139.63,916.5,223.13,13.6,11.62,8.2,West,0.75,North,1.9,368.84,15.01,37.91,239.53
2019-02-25 16:17:30,Sp-Tå,57,46,11,11,35,1,3,294.4,1161.74,935.3,226.44,14.1,12.24,10.69,West,0.47,South,1.6,245.35,10.39,33.05,250.96
2019-02-25 09:16:30,Tå-Sp,62,50,12,12,38,2,2,294.49,1135.63,897.8,237.82,12.2,11.1,9.09,West,1.02,North,2.1,75.32,15.76,51.25,227.48
2019-02-25 13:17:00,Tå-Sp,58,52,7,13,39,2,3,299.92,1173.83,937.28,236.55,13.2,10.93,13.45,West,1.03,North,1.8,59.15,9.74,38.96,251.21
2019-02-25 12:16:30,Sp-Tå,61,49,12,12,37,2,3,301.41,1173.19,942.29,230.9,13.7,11.4,9.52,West,1.15,North,1.8,214.75,15.54,36.5,249.37
2019-02-25 15:17:00,Tå-Sp,61,56,5,12,44,2,3,308.52,1229.73,982.63,247.1,12.5,10.28,13.25,West,0.58,South,2.0,608.04,6.84,33.5,268.18
2019-02-25 17:14:30,Tå-Sp,61,50,11,12,39,1,3,314.82,1241.25,997.31,243.95,12.8,11.0,12.85,West,0.5,South,2.1,72.3,10.66,35.42,268.74
